,precision,recall,f1-score,support
Vitória Casa,0.5261538461538462,0.5197568389057751,0.5229357798165137,329
Empate,0.24752475247524752,0.125,0.16611295681063123,200
Vitória Visitante,0.3652694610778443,0.5281385281385281,0.431858407079646,231
accuracy,0.41842105263157897,0.41842105263157897,0.41842105263157897,0
macro avg,0.379649353235646,0.39096512234810105,0.37363571456893035,760
weighted avg,0.4039300149850617,0.41842105263157897,0.40135230915415465,760
