,precision,recall,f1-score,support
Vitória Casa,0.4465592972181552,0.9270516717325228,0.6027667984189723,329
Empate,0.4,0.01,0.01951219512195122,200
Vitória Visitante,0.3611111111111111,0.11255411255411256,0.1716171617161716,231
accuracy,0.4381578947368421,0.4381578947368421,0.4381578947368421,0
macro avg,0.40255680277642214,0.34986859476221177,0.26463205175236504,760
weighted avg,0.4083350992782102,0.4381578947368421,0.31823194744824707,760
