,precision,recall,f1-score,support
Vitória Casa,0.606425702811245,0.45896656534954405,0.5224913494809689,329
Empate,0.3031674208144796,0.335,0.3182897862232779,200
Vitória Visitante,0.40344827586206894,0.5064935064935064,0.4491362763915547,231
accuracy,0.4407894736842105,0.4407894736842105,0.4407894736842105,0
macro avg,0.43768046649593123,0.43348669061435013,0.4299724706986005,760
weighted avg,0.46492643698938607,0.4407894736842105,0.44645801456624146,760
