gd_diff,streak_diff,weighted_diff,form_diff,home_form,away_form,corners_diff,shotsontarget_diff,shots_diff,goals_avg_diff,overall_diff,attack_diff,midfield_diff,defense_diff,h2h_home_wins,h2h_draws,h2h_away_wins,h2h_home_goals_avg,h2h_away_goals_avg,h2h_games,home_position,away_position,position_diff,home_points,away_points,points_diff,B365H,B365D,B365A,prob_home,prob_draw,prob_away,prob_home_norm,prob_draw_norm,prob_away_norm,h2h_confidence,away_advantage,season_trend,position_form_home,position_form_away,strength_balance,latent_0,latent_1,latent_2,latent_3,latent_4,latent_5,latent_6,latent_7,latent_8,latent_9,latent_10,latent_11,latent_12,latent_13,latent_14,latent_15,Result,Season
0,0.0,0.0,0.0,1.0,1.0,3.0,-4.0,-8.0,0.0,-5.0,-7.0,-5.0,-3.0,0,0,0,0.0,0.0,0,12,10,2,1,1,0,2.2,3.2,3.25,0.45454545454545453,0.3125,0.3076923076923077,0.422936152907686,0.29076860512403413,0.28629524196827977,0.0,0.8326394671107411,0.0,11.881188118811881,9.900990099009901,1.9801980198019802,0.5766804,0.0,0.0,0.4305511,0.31449735,1.3000709,0.47574168,1.885077,0.0,0.6624547,2.5312533,1.9971669,0.5791693,1.7140397,0.7765653,0.0,2,2006
-2,-0.3333333333333333,-0.3333333333333333,-0.33000000000000007,0.6699999999999999,1.0,0.0,-2.0,-4.0,1.0,2.0,2.0,2.0,2.0,0,0,0,0.0,0.0,0,32,10,22,0,1,-1,2.0,3.2,3.75,0.5,0.3125,0.26666666666666666,0.46332046332046334,0.2895752895752896,0.2471042471042471,0.0,0.3124023742580444,0.0,47.05882352941177,9.900990099009901,37.157833430401865,0.509883,0.0,0.41364288,1.7902513,0.19386151,0.7130799,1.4445806,0.4323624,0.0,1.9415703,1.0995345,2.359469,2.2691038,1.4065571,0.40543333,0.0,0,2006
3,1.0,1.0,0.6600000000000001,1.33,0.6699999999999999,3.0,-1.0,2.0,3.0,1.0,1.0,1.0,1.0,0,0,0,0.0,0.0,0,3,31,-28,3,0,3,1.8,3.4,4.33,0.5555555555555556,0.29411764705882354,0.23094688221709006,0.5141081156586115,0.2721748847604414,0.21371699958094703,0.0,10.299003322259138,0.0,2.2388059701492535,45.58823529411765,43.3494293239684,5.2712617,0.99733806,0.8369114,0.0,0.38299257,1.4318285,1.2655706,2.4286017,0.0,0.0,3.344073,0.24893022,0.0,0.0,2.1104007,0.0,0,2006
2,0.3333333333333333,0.3333333333333333,0.33000000000000007,1.0,0.6699999999999999,-5.0,-1.0,4.0,-1.0,7.0,9.0,7.0,6.0,0,0,0,0.0,0.0,0,12,31,-19,1,0,1,1.28,5.0,10.0,0.78125,0.2,0.1,0.722543352601156,0.18497109826589594,0.09248554913294797,0.0,2.5811823480432974,0.0,11.881188118811881,45.58823529411765,33.707047175305775,1.5485864,2.2627385,0.962006,0.0,0.041686147,1.0111936,0.0,0.0,1.6111691,0.0,1.4724922,0.0,1.3322695,1.6393315,2.589053,0.0,0,2006
2,0.6666666666666667,0.6666666666666667,0.33000000000000007,1.33,1.0,-1.0,3.0,9.0,0.0,12.0,12.0,13.0,9.0,0,0,0,0.0,0.0,0,6,10,-4,3,1,2,1.22,5.5,13.0,0.819672131147541,0.18181818181818182,0.07692307692307693,0.7600722865950887,0.1685978526629106,0.07132986074200064,0.0,1.663893510815308,0.0,4.477611940298507,9.900990099009901,5.423378158711394,1.5761323,0.7913577,1.9645662,0.0,0.0,0.0,0.038344443,0.17316753,2.857446,0.0,0.8194711,0.0,2.7143426,0.7463593,2.9105172,0.0,0,2006
-4,-1.0,-1.0,-0.6600000000000001,0.6699999999999999,1.33,1.0,-4.0,-11.0,-3.0,2.0,0.0,2.0,4.0,0,0,0,0.0,0.0,0,34,5,29,0,3,-3,1.61,3.6,5.5,0.6211180124223602,0.2777777777777778,0.18181818181818182,0.574729325708978,0.2570317262198485,0.16823894807117354,0.0,0.1470155836518671,0.0,50.0,3.731343283582089,46.26865671641791,0.0,0.0,0.0,4.3763704,0.0,1.3650708,0.0,0.51541245,0.07278839,1.7874503,0.0,0.99469954,1.9649366,3.4787672,1.4795144,0.7359936,1,2006
2,0.6666666666666667,0.6666666666666667,0.33000000000000007,1.33,1.0,-3.0,4.0,7.0,2.0,9.0,11.0,9.0,7.0,0,0,0,0.0,0.0,0,7,11,-4,3,1,2,1.9,3.3,4.0,0.5263157894736842,0.30303030303030304,0.25,0.4876246767639453,0.28075360177318065,0.23162172146287402,0.0,1.5691868758915835,0.0,5.223880597014925,10.89108910891089,5.667208511895965,3.4717734,1.2736828,1.3265679,0.0,0.12391406,0.010145605,1.0681345,0.3945703,0.0,0.0,0.5653772,0.72529113,3.0567977,0.0,0.7574696,0.0,0,2006
2,0.3333333333333333,0.3333333333333333,0.33000000000000007,1.0,0.6699999999999999,-1.0,-4.0,2.0,0.0,6.0,6.0,6.0,5.0,0,0,0,0.0,0.0,0,11,33,-22,1,0,1,2.2,3.2,3.25,0.45454545454545453,0.3125,0.3076923076923077,0.422936152907686,0.29076860512403413,0.28629524196827977,0.0,2.997275204359673,0.0,10.89108910891089,48.529411764705884,37.638322655794994,2.8257492,2.3982081,0.0,0.0,0.17301312,2.0017624,0.036313236,1.5070162,0.0,0.0,2.111469,1.1731567,2.0013616,1.0309147,1.7550082,0.0,0,2006
2,0.3333333333333333,0.3333333333333333,0.33000000000000007,1.0,0.6699999999999999,0.0,1.0,3.0,2.0,-5.0,-5.0,-5.0,-5.0,0,0,0,0.0,0.0,0,11,32,-21,1,0,1,2.1,3.2,3.5,0.47619047619047616,0.3125,0.2857142857142857,0.44321329639889195,0.29085872576177285,0.2659279778393352,0.0,2.9064486830154403,0.0,10.89108910891089,47.05882352941177,36.16773442050088,2.326087,1.0418471,1.3834817,0.0,0.41670835,1.4271032,0.82409495,1.004724,0.0,0.0,3.1009967,1.2739801,0.1430313,0.0,0.4399049,0.0,2,2006
-1,0.0,0.0,0.0,1.33,1.33,-2.0,-3.0,5.0,-1.0,1.0,-3.0,1.0,5.0,0,0,0,0.0,0.0,0,9,8,1,3,3,0,2.0,3.2,3.75,0.5,0.3125,0.26666666666666666,0.46332046332046334,0.2895752895752896,0.2471042471042471,0.0,0.8879023307436182,0.0,6.716417910447761,5.970149253731343,0.7462686567164178,0.93074906,0.6538352,0.36566144,0.3939256,0.0,1.1330361,0.0,0.56107974,0.0,0.0,0.40923315,1.3324366,1.7832785,0.9934782,0.7760525,0.0,0,2006
